82417:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 142 @ sec=2.187286139, dt=0.008335
82418:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 143 @ sec=2.195617914, dt=0.008332
82419:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 144 @ sec=2.203950405, dt=0.008332
82420:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 145 @ sec=2.212301493, dt=0.008351
82426:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 146 @ sec=2.220623016, dt=0.008322
82427:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 147 @ sec=2.228954792, dt=0.008332
82428:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 148 @ sec=2.237292051, dt=0.008337
82429:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 149 @ sec=2.245665312, dt=0.008373
82430:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 150 @ sec=2.253954172, dt=0.008289
82431:Aug  8 21:45:37 raspberrypi-ecen5623 capture: FinalProject (S0_sequencer):                   S0_SEQUENCER Sequencer on core 3 for cycle 151 @ sec=2.262284517, dt=0.008330
